,li2024subadjacent,monath2019scalable,isgur2011solving,baker2014semanticallyinformed,baker2015use,loday2001dialgebras
li2024subadjacent,1.0000000000000002,0.6007247756067253,0.6838769225959036,0.40259764826745037,0.4064348526942652,0.8860236286273797
monath2019scalable,0.6007247756067253,1.0,0.70233018426395,0.568534655955525,0.5742557250067408,0.6164525898452627
isgur2011solving,0.6838769225959036,0.70233018426395,1.0,0.4340821793573232,0.4225770184597952,0.6923413187764431
baker2014semanticallyinformed,0.40259764826745037,0.568534655955525,0.4340821793573232,1.0000000000000002,0.9452665040140262,0.40149375980142643
baker2015use,0.4064348526942652,0.5742557250067408,0.4225770184597952,0.9452665040140262,0.9999999999999996,0.4100994288638289
loday2001dialgebras,0.8860236286273797,0.6164525898452627,0.6923413187764431,0.40149375980142643,0.4100994288638289,0.9999999999999994
